GX,GY,GZ,AX,AY,AZ
-0.111262,-0.022154,-0.194954,0.064167,-0.024736,1.000329
-0.111262,-0.052923,-0.194954,0.063679,-0.024736,0.99984
-0.080492,-0.052923,-0.194954,0.063435,-0.024736,1.000084
-0.111262,-0.083692,-0.194954,0.062946,-0.024736,1.000329
-0.111262,-0.052923,-0.194954,0.063435,-0.024736,0.999596
-0.111262,-0.052923,-0.194954,0.064167,-0.024491,0.99862
-0.111262,-0.052923,-0.194954,0.064411,-0.024736,0.998864
-0.142031,-0.052923,-0.194954,0.063923,-0.024736,0.99862
-0.111262,-0.022154,-0.194954,0.063923,-0.024736,0.99862
-0.111262,-0.022154,-0.194954,0.063679,-0.024491,0.998131
-0.111262,-0.022154,-0.194954,0.063679,-0.024491,0.997887
-0.111262,-0.022154,-0.194954,0.063679,-0.024247,0.997887
-0.142031,-0.052923,-0.194954,0.063923,-0.024247,0.997643
-0.111262,-0.052923,-0.194954,0.063679,-0.024491,0.997643
-0.080492,-0.052923,-0.194954,0.063435,-0.025224,0.996911
-0.080492,-0.052923,-0.194954,0.063435,-0.025224,0.996666
-0.049723,-0.052923,-0.194954,0.063435,-0.025712,0.996911
-0.049723,-0.022154,-0.194954,0.063191,-0.025712,0.997155
-0.080492,-0.022154,-0.194954,0.063191,-0.025712,0.997399
-0.080492,-0.022154,-0.225723,0.063191,-0.025468,0.997643
-0.049723,-0.022154,-0.225723,0.062702,-0.025224,0.997887
-0.049723,-0.022154,-0.225723,0.062946,-0.02498,0.997887
-0.080492,-0.022154,-0.194954,0.063191,-0.024736,0.998375
-0.080492,-0.022154,-0.194954,0.063923,-0.024736,0.998375
-0.049723,-0.022154,-0.194954,0.063923,-0.024736,0.99862
-0.080492,-0.022154,-0.194954,0.064411,-0.025224,0.99862
-0.080492,-0.022154,-0.225723,0.063923,-0.025468,0.99862
-0.111262,-0.022154,-0.225723,0.063923,-0.025712,0.998864
-0.111262,-0.052923,-0.194954,0.063923,-0.025712,0.998864
-0.111262,-0.052923,-0.194954,0.063923,-0.025956,0.998375
-0.142031,-0.083692,-0.194954,0.063679,-0.025468,0.998131
-0.111262,-0.052923,-0.194954,0.063435,-0.025468,0.998375
-0.142031,-0.083692,-0.164185,0.063923,-0.025224,0.998131
-0.142031,-0.083692,-0.164185,0.064655,-0.025224,0.999352
-0.142031,-0.083692,-0.164185,0.065144,-0.025712,1.000084
-0.142031,-0.052923,-0.164185,0.065144,-0.025224,1.000084
-0.111262,-0.052923,-0.164185,0.065144,-0.025224,0.99984
-0.111262,-0.052923,-0.164185,0.065144,-0.024736,0.999596
