GX,GY,GZ,AX,AY,AZ
2.165662,0.100923,-0.164185,0.060505,-0.007646,0.992272
-1.680492,0.593231,-0.3488,0.1003,0.011397,1.015465
1.119508,-0.729846,-0.625723,0.091511,-0.026445,0.986413
0.257969,1.793231,-0.225723,0.04195,-7.7E-5,1.002282
1.796431,-0.576,-0.041108,0.084919,0.008468,1.009118
-1.926646,0.254769,-0.225723,0.073933,-0.029374,0.985192
1.088738,0.654769,-0.318031,0.094196,-0.00496,0.976891
0.719508,-1.191385,-0.502646,0.081013,0.007979,0.99569
0.134892,1.300923,0.020431,0.073933,-0.040849,0.995446
-0.726646,-0.945231,-0.7488,0.075398,-0.009599,0.996666
0.596431,-0.114462,0.081969,0.073689,-0.018144,0.982262
0.534892,0.685538,0.728123,0.092243,-0.021073,0.983239
1.150277,-0.391385,-0.933415,0.062458,-0.002275,1.0057
-1.680492,0.316308,0.266585,0.059529,0.012374,0.993981
-2.788185,-1.252923,0.328123,0.091511,-0.021073,1.001549
2.011815,1.085539,-0.994954,0.063435,0.003585,0.993004
-0.1728,1.116308,0.235815,0.071247,-0.02205,0.997155
0.565662,-0.483692,-0.502646,0.060261,-5.66E-4,0.993981
-2.326646,-0.606769,-0.041108,0.085896,-0.007157,0.995446
-0.388185,0.008615,-0.287262,0.1003,-0.017167,0.977623
4.381046,1.177846,-0.410338,0.068073,-0.003984,0.993004
-1.680492,-0.206769,-0.3488,0.070515,0.013106,1.010827
-2.757415,-1.622154,0.081969,0.078083,-0.031327,0.995202
-0.511262,1.362462,-0.164185,0.060505,-0.01912,0.995934
3.0272,-0.052923,-0.502646,0.076862,0.001632,1.007164
-0.788185,0.439385,-0.071877,0.07613,0.007247,0.990075
-0.388185,-0.022154,-0.3488,0.080036,-0.012529,0.997643
0.750277,0.747077,-0.102646,0.079792,0.007003,0.999596
-0.695877,0.716308,-0.564185,0.086872,-0.025956,0.983971
1.334892,0.408615,-0.379569,0.060261,-0.009355,0.982506
-1.034338,0.224,0.020431,0.088825,-0.01082,0.991539
-0.665108,-1.222154,-0.102646,0.090779,-0.013261,0.99862
1.488738,0.470154,-0.287262,0.064655,-0.028154,0.987877
-0.511262,0.100923,-0.3488,0.091999,0.011153,1.006432
1.088738,-1.129846,0.174277,0.066853,-0.041581,1.007164
3.642585,3.393231,-1.456492,0.061237,1.67E-4,0.994957
-1.926646,-2.391385,-0.010338,0.077351,0.017501,0.987145
-0.203569,0.531692,0.143508,0.081257,-0.02205,1.004967
0.073354,-0.145231,-0.841108,0.061482,-0.003495,1.010094
1.242585,0.408615,-0.410338,0.083698,-0.001054,0.992516
-0.695877,0.470154,-0.164185,0.065632,-0.012529,0.98983
-3.618954,-2.176,-0.041108,0.067585,-0.019364,1.000329
3.704123,1.424,-0.194954,0.097614,-0.026445,0.981286
2.288738,1.608615,-0.256492,0.068073,0.014327,1.00277
-2.665108,-1.837538,-0.164185,0.068318,-0.005693,1.005211
1.304123,0.193231,-0.564185,0.087605,-5.66E-4,1.010338
-1.342031,-0.145231,-0.133415,0.079304,-0.016435,0.98568
-0.726646,-0.852923,-0.3488,0.064655,-0.014482,0.991539
1.796431,1.270154,0.205046,0.089802,-0.027665,0.978844
0.073354,0.900923,-1.241108,0.065388,-0.002275,0.986168
-1.034338,-1.252923,0.143508,0.081013,-0.003739,0.989342
2.657969,1.054769,-0.718031,0.079548,-0.020585,0.991539
0.104123,-0.114462,0.266585,0.080769,-0.005204,0.98275
-0.511262,0.039385,0.112738,0.050984,-0.011796,1.000817
1.119508,1.024,-0.533415,0.082722,-3.21E-4,0.992516
-1.834338,-2.237539,-0.102646,0.064411,-0.012773,1.003747
2.073354,1.177846,-0.041108,0.067829,-0.020585,1.004235
0.288738,-0.083692,-0.625723,0.077107,4.11E-4,1.004235
-2.018954,-0.206769,0.205046,0.077107,-0.001054,0.985436
1.704123,0.931692,-0.225723,0.087116,-0.005448,1.005944
1.734892,0.593231,-1.271877,0.0732,0.003829,1.005211
-1.034338,-0.852923,0.420431,0.074421,4.11E-4,1.005944
0.719508,0.193231,-0.871877,0.086628,-0.018632,0.983483
-0.388185,0.347077,0.266585,0.084919,-0.030351,0.973961
0.196431,-0.576,-0.256492,0.076374,-7.7E-5,1.004967
-0.265108,-0.206769,-0.318031,0.06612,-0.012773,0.980797
0.319508,0.531692,0.0512,0.071003,0.006759,0.986901
0.381046,-0.052923,-0.471877,0.071247,-0.00203,1.005211
0.011815,0.408615,-0.564185,0.075642,-0.01497,0.999352
0.288738,0.100923,-0.041108,0.067341,0.007003,1.008629
-0.880492,0.870154,-0.164185,0.078327,0.010665,1.005211
1.981046,-0.052923,-0.441108,0.088093,-0.028154,0.978112
-1.7728,-1.037538,-0.102646,0.061237,0.006514,0.987633
0.750277,-0.391385,-0.041108,0.110066,-0.017411,0.990807
2.381046,0.716308,-0.7488,0.06612,-0.01082,0.990075
-3.7728,-1.376,0.4512,0.082234,-0.005693,0.988366
-0.326646,0.070154,0.020431,0.087361,-0.033036,0.978356
3.734892,2.039385,-0.594954,0.063923,-0.010331,1.00692
-2.357415,-1.837538,-0.379569,0.075154,0.002364,1.001549
0.104123,0.562462,0.481969,0.077839,-0.024491,0.989342
